event_id,event_slug,event_name,event_short_name,event_tier,event_region,event_status,event_date_range,event_end_date,match_id,match_time_iso,match_day_id,match_status,best_of,stage,score_a,score_b,team_a_id,team_a,team_a_short,team_b_id,team_b,team_b_short,has_stats,has_vod,maps,n_maps
227,game-changers-2026-latam-main-event,Game Changers 2026: LATAM Main Event,GC 26: LATAM,game-changers,Americas,ongoing,"Aug 3 - Aug 25, 2026",2026-08-25,765,2026-08-25T22:00:00+00:00,2026-08-25,upcoming,Bo5,North,0.0,0.0,196,Akave Esports GC,AKV,29,TBD,TBD,True,False,"[{'map_id': '765-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '765-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '765-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '765-m4', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '765-m5', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",5
227,game-changers-2026-latam-main-event,Game Changers 2026: LATAM Main Event,GC 26: LATAM,game-changers,Americas,ongoing,"Aug 3 - Aug 25, 2026",2026-08-25,766,2026-08-24T19:00:00+00:00,2026-08-24,upcoming,Bo5,South,0.0,0.0,157,KRÃ BLAZE,KRÃ,29,TBD,TBD,True,False,"[{'map_id': '766-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '766-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '766-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '766-m4', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '766-m5', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",5
76,vct-2026-emea-stage-2,VCT 2026: EMEA Stage 2,VCT 26: EMEA S2,vct,EMEA,ongoing,"Jul 15 - Aug 31, 2026",2026-08-31,825,2026-08-22T18:00:00+00:00,2026-08-22,upcoming,Bo3,Playoffs,0.0,0.0,29,TBD,TBD,58,Fire Flux Esports,FF,True,False,"[{'map_id': '825-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '825-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '825-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
76,vct-2026-emea-stage-2,VCT 2026: EMEA Stage 2,VCT 26: EMEA S2,vct,EMEA,ongoing,"Jul 15 - Aug 31, 2026",2026-08-31,824,2026-08-22T15:00:00+00:00,2026-08-22,upcoming,Bo3,Playoffs,0.0,0.0,29,TBD,TBD,61,Eintracht Frankfurt,SGE,True,False,"[{'map_id': '824-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '824-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '824-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
43,vct-2026-americas-stage-2,VCT 2026: Americas Stage 2,VCT 26: AMER S2,vct,Americas,ongoing,"Jul 17 - Sep 7, 2026",2026-09-07,826,2026-08-22T00:00:00+00:00,2026-08-22,upcoming,Bo3,Play-Ins,0.0,0.0,86,FURIA,FUR,83,Evil Geniuses,EG,True,False,"[{'map_id': '826-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '826-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '826-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
43,vct-2026-americas-stage-2,VCT 2026: Americas Stage 2,VCT 26: AMER S2,vct,Americas,ongoing,"Jul 17 - Sep 7, 2026",2026-09-07,816,2026-08-21T21:00:00+00:00,2026-08-21,upcoming,Bo3,Play-Ins,0.0,0.0,38,MIBR,MIBR,81,ENVY,ENVY,True,False,"[{'map_id': '816-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '816-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '816-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
76,vct-2026-emea-stage-2,VCT 2026: EMEA Stage 2,VCT 26: EMEA S2,vct,EMEA,ongoing,"Jul 15 - Aug 31, 2026",2026-08-31,580,2026-08-21T18:00:00+00:00,2026-08-21,upcoming,Bo3,Playoffs,0.0,0.0,35,Karmine Corp,KC,29,TBD,TBD,True,False,"[{'map_id': '580-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '580-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '580-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
76,vct-2026-emea-stage-2,VCT 2026: EMEA Stage 2,VCT 26: EMEA S2,vct,EMEA,ongoing,"Jul 15 - Aug 31, 2026",2026-08-31,579,2026-08-21T15:00:00+00:00,2026-08-21,upcoming,Bo3,Playoffs,0.0,0.0,31,BBL Esports,BBL,29,TBD,TBD,True,False,"[{'map_id': '579-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '579-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '579-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
85,vct-2026-pacific-stage-2,VCT 2026: Pacific Stage 2,VCT 26: PAC S2,vct,Pacific,ongoing,"Jul 16 - Sep 6, 2026",2026-09-06,819,2026-08-21T11:00:00+00:00,2026-08-21,upcoming,Bo3,Play-Ins,0.0,0.0,94,T1,T1,1,Nongshim RedForce,NS,True,False,"[{'map_id': '819-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '819-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '819-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
85,vct-2026-pacific-stage-2,VCT 2026: Pacific Stage 2,VCT 26: PAC S2,vct,Pacific,ongoing,"Jul 16 - Sep 6, 2026",2026-09-06,807,2026-08-21T08:00:00+00:00,2026-08-21,upcoming,Bo3,Play-Ins,0.0,0.0,91,KIWOOM DRX,KRX,200,Sharper Esports,SP,True,False,"[{'map_id': '807-m1', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '807-m2', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}, {'map_id': '807-m3', 'map': 'TBD', 'status': 'upcoming', 'winner': None, 'score_a': 0, 'score_b': 0, 'n_rounds': 0, 'has_replay': False}]",3
